"","X","MES","FECHA","LINEA","ACTIVIDAD","INSTITUCIÓN","POBLACIÓN","DIRECCIÓN","BARRIO","COMUNA","PERSONAS SENSIBILIZADAS","MUJERES","HOMBRES","NIÑO","JOVEN","ADULTO","P.MAYOR","PEATÓN","CICLISTA","MOTOCICLISTA","CONDUCTOR","ACOMPAÑANTE.Y.O.PASAJERO","HOMBRES","JOVEN..14.a.28.años..1","ADULTO..29.a.59.años..1","PERSONA.MAYOR..60..años.y.más..1","PEATÓN.1","CICLISTA.1","MOTOCICLISTA.1","CONDUCTOR.1","ACOMPAÑANTE.Y.O.PASAJERO.1","No..DE.PROFESIONALES.VINCULADOS","No..DE.AUXILIARES.VINCULADOS","No..DE.PROFESIONALES.CONTRATISTAS","No..DE.AUXILIARES.CONTRATISTAS","NCOMUNA"
"64",64,"Enero","viernes, 19 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía pública buen parqueo","Secretaría de Movilidad","Actores viales en general","Cra 43 B entre Cll 16 y Cll 14","Poblado ","Comuna14ElPoblado",88,32,56,"0",14,16,2,5,0,2,25,0,"0",25,29,2,0,0,16,40,0,0,0,1,5,14
"65",65,"Enero","sábado, 20 de enero de 2018","Intervenciones en vía y trámites","Intervención en vía sitio de mayor incidentalidad","Secretaría de Movilidad","Actores viales en general","Cll 10 con Cra 47","Poblado ","Comuna14ElPoblado",225,125,100,"0",42,69,14,115,0,3,7,0,"0",44,50,4,84,0,8,8,0,0,0,1,5,14
"66",66,"Enero","lunes, 15 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",210,80,130,"0",40,34,6,80,0,0,0,0,"2",39,85,6,130,0,0,0,0,0,0,1,6,5
"67",67,"Enero","martes, 16 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",208,86,122,"0",37,40,9,86,0,0,0,0,"0",37,58,27,122,0,0,0,0,0,0,1,6,5
"68",68,"Enero","miércoles, 17 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",283,114,169,"0",64,42,8,114,0,0,0,0,"0",70,80,19,169,0,0,0,0,0,0,1,6,5
"69",69,"Enero","jueves, 18 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",239,94,145,"0",44,40,10,94,0,0,0,0,"0",90,40,15,145,0,0,0,0,0,0,1,6,5
"70",70,"Enero","viernes, 19 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",101,42,59,"0",20,15,7,42,0,0,0,0,"0",20,34,5,59,0,0,0,0,0,0,1,6,5
"71",71,"Enero","sábado, 20 de enero de 2018","Intervenciones en vía y trámites","Sensibilizaciones de educación vial","Secretaría de Movilidad","Asistentes a trámites","CR 64C  72  58","Caribe","Comuna5Castilla",272,97,175,"0",60,30,7,97,0,0,0,0,"0",66,90,19,175,0,0,0,0,0,0,1,6,5
"72",72,"Enero","lunes, 15 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  70","Caribe","Comuna5Castilla",60,6,54,"0",1,5,0,0,0,1,5,0,"0",16,36,2,0,0,11,43,0,1,0,0,1,5
"73",73,"Enero","martes, 16 de enero de 2018","Curso de amonestados","Taller de educación vial","Secretaría de Movilidad","Conductores amonestados","CR 64 C  72  71","Caribe","Comuna5Castilla",19,3,16,"0",2,1,0,0,0,2,1,0,"0",4,11,1,0,0,10,6,0,1,0,0,1,5
